outcome,team_trophies,opp_trophies,trophy_diff,team_avg_elixir,opp_avg_elixir,elixir_diff,team_avg_level,opp_avg_level,level_diff,team_card_ids,opp_card_ids,exp_level,battle_count,hour_of_day,battle_time,player_tag,team_crowns,opp_crowns,team_deck_meta_score,opp_deck_meta_score,deck_meta_score_diff,team_underleveled_penalty,opp_underleveled_penalty,underleveled_diff,player_win_rate,trophy_diff_category
1,,,,3.25,3.25,0.0,10.875,11.875,-1.0,"[27000012, 28000015, 26000000, 26000015, 26000010, 28000009, 28000010, 26000023]","[28000004, 26000000, 26000030, 28000011, 27000003, 26000041, 28000003, 26000026]",68,12261,16,20260414T160731.000Z,#2UC90QQY,1,0,0.5,0.5,0.0,3.125,2.125,1.0,0.8235294117647058,unknown
1,,,,3.25,3.875,-0.625,10.875,9.0,1.875,"[27000012, 28000015, 26000000, 26000015, 26000010, 28000009, 28000010, 26000023]","[26000004, 26000062, 26000050, 26000042, 28000008, 28000000, 26000046, 26000036]",68,12261,15,20260414T154502.000Z,#2UC90QQY,1,0,0.5,0.5,0.0,3.125,5.0,-1.875,0.8235294117647058,unknown
1,12013.0,12314.0,-301.0,3.125,4.875,-1.75,12.5,9.5,3.0,"[27000006, 26000027, 27000010, 28000000, 28000011, 26000102, 26000021, 26000010]","[26000055, 26000001, 26000099, 26000007, 26000027, 26000037, 26000016, 27000008]",68,12261,15,20260414T153917.000Z,#2UC90QQY,1,0,0.5,0.5,0.0,1.5,4.5,-3.0,0.8235294117647058,lower
1,12013.0,11863.0,150.0,2.75,3.5,-0.75,12.125,12.375,-0.25,"[28000004, 26000011, 26000058, 26000026, 26000041, 26000040, 26000030, 27000000]","[26000007, 26000002, 26000059, 26000018, 27000000, 28000009, 28000017, 28000004]",68,12261,15,20260414T153513.000Z,#2UC90QQY,3,0,0.5,0.5,0.0,1.875,1.625,0.25,0.8235294117647058,higher
1,12013.0,13654.0,-1641.0,3.0,2.625,0.375,12.25,14.375,-2.125,"[27000012, 26000072, 26000059, 28000016, 28000017, 28000014, 26000025, 26000031]","[27000000, 26000038, 26000010, 26000014, 28000000, 26000030, 26000021, 28000015]",68,12261,15,20260414T153253.000Z,#2UC90QQY,1,0,0.5,0.5,0.0,1.75,-0.375,2.125,0.8235294117647058,lower
1,12013.0,12095.0,-82.0,3.5,3.875,-0.375,10.75,12.625,-1.875,"[26000000, 26000015, 28000015, 28000010, 27000001, 26000023, 28000009, 28000012]","[26000010, 26000039, 26000103, 26000059, 26000043, 26000084, 27000006, 26000017]",68,12261,15,20260414T152822.000Z,#2UC90QQY,1,0,0.5,0.5,0.0,3.25,1.375,1.875,0.8235294117647058,lower
1,,,,3.25,2.375,0.875,10.875,12.5,-1.625,"[27000012, 28000015, 26000000, 26000015, 26000010, 28000009, 28000010, 26000023]","[28000004, 26000062, 26000058, 27000000, 26000031, 26000030, 26000011, 26000010]",68,12261,16,20260402T165312.000Z,#2UC90QQY,1,0,0.5,0.5,0.0,3.125,1.5,1.625,0.8235294117647058,unknown
1,,,,3.25,4.875,-1.625,10.875,8.625,2.25,"[27000012, 28000015, 26000000, 26000015, 26000010, 28000009, 28000010, 26000023]","[26000011, 26000074, 26000035, 26000007, 26000085, 26000051, 26000037, 28000007]",68,12261,11,20260402T110743.000Z,#2UC90QQY,1,0,0.5,0.5,0.0,3.125,5.375,-2.25,0.8235294117647058,unknown
0,6.0,6.0,0.0,4.125,3.5,0.625,6.25,5.875,0.375,"[28000010, 26000034, 26000000, 28000012, 28000005, 26000045, 26000052, 26000037]","[28000010, 26000023, 28000009, 28000012, 28000011, 27000001, 26000000, 26000015]",68,12261,9,20260401T094410.000Z,#2UC90QQY,0,1,0.5,0.5,0.0,7.75,8.125,-0.375,0.8235294117647058,equal
1,5.0,5.0,0.0,4.125,4.125,0.0,6.25,6.875,-0.625,"[28000010, 26000034, 26000000, 28000012, 28000005, 26000045, 26000052, 26000037]","[26000009, 26000049, 26000048, 28000000, 26000025, 28000001, 28000010, 26000027]",68,12261,9,20260401T094000.000Z,#2UC90QQY,1,0,0.5,0.5,0.0,7.75,7.125,0.625,0.8235294117647058,equal
0,5.0,5.0,0.0,4.125,3.75,0.375,6.25,8.25,-2.0,"[28000010, 26000034, 26000000, 28000012, 28000005, 26000045, 26000052, 26000037]","[26000055, 26000018, 26000007, 26000036, 26000056, 26000000, 26000012, 26000031]",68,12261,22,20260330T221638.000Z,#2UC90QQY,1,2,0.5,0.5,0.0,7.75,5.75,2.0,0.8235294117647058,equal
0,5.0,5.0,0.0,4.125,3.75,0.375,6.25,6.625,-0.375,"[28000010, 26000034, 26000000, 28000012, 28000005, 26000045, 26000052, 26000037]","[26000033, 28000012, 26000012, 26000003, 26000005, 28000002, 26000018, 26000042]",68,12261,20,20260330T203957.000Z,#2UC90QQY,0,1,0.5,0.5,0.0,7.75,7.375,0.375,0.8235294117647058,equal
1,4.0,4.0,0.0,4.125,3.25,0.875,6.25,7.875,-1.625,"[28000010, 26000034, 26000000, 28000012, 28000005, 26000045, 26000052, 26000037]","[28000011, 26000026, 28000004, 27000003, 28000003, 26000041, 26000030, 26000000]",68,12261,20,20260330T203630.000Z,#2UC90QQY,1,0,0.5,0.5,0.0,7.75,6.125,1.625,0.8235294117647058,equal
1,3.0,3.0,0.0,4.125,4.125,0.0,6.25,6.375,-0.125,"[28000010, 26000034, 26000000, 28000012, 28000005, 26000045, 26000052, 26000037]","[26000029, 26000037, 27000009, 28000000, 26000015, 26000006, 26000011, 28000002]",68,12261,20,20260330T203253.000Z,#2UC90QQY,1,0,0.5,0.5,0.0,7.75,7.625,0.125,0.8235294117647058,equal
1,2.0,2.0,0.0,4.125,3.625,0.5,6.25,7.25,-1.0,"[28000010, 26000034, 26000000, 28000012, 28000005, 26000045, 26000052, 26000037]","[26000027, 26000014, 26000054, 26000000, 26000015, 26000056, 26000032, 28000013]",68,12261,19,20260330T192426.000Z,#2UC90QQY,2,1,0.5,0.5,0.0,7.75,6.75,1.0,0.8235294117647058,equal
1,1.0,1.0,0.0,4.125,4.875,-0.75,6.25,5.25,1.0,"[28000010, 26000034, 26000000, 28000012, 28000005, 26000045, 26000052, 26000037]","[26000007, 26000004, 26000006, 26000016, 28000005, 26000042, 26000055, 28000002]",68,12261,11,20260330T113333.000Z,#2UC90QQY,2,1,0.5,0.5,0.0,7.75,8.75,-1.0,0.8235294117647058,equal
1,,,,4.125,3.75,0.375,6.25,5.875,0.375,"[28000010, 26000034, 26000000, 28000012, 28000005, 26000045, 26000052, 26000037]","[26000036, 26000026, 26000050, 26000004, 28000000, 26000042, 26000046, 28000008]",68,12261,11,20260330T112818.000Z,#2UC90QQY,3,0,0.5,0.5,0.0,7.75,8.125,-0.375,0.8235294117647058,unknown
1,,,,3.625,3.0,0.625,10.75,12.625,-1.875,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000064, 28000015, 27000012, 26000102, 26000049, 26000042, 26000021, 28000014]",77,8859,20,20260413T203541.000Z,#QPUJY0LRQ,1,0,0.5,0.5,0.0,3.25,1.375,1.875,0.76,unknown
1,,,,3.625,3.25,0.375,10.75,12.0,-1.25,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000045, 26000030, 26000010, 26000021, 28000012, 28000003, 28000011, 26000011]",77,8859,15,20260413T153451.000Z,#QPUJY0LRQ,1,0,0.5,0.5,0.0,3.25,2.0,1.25,0.76,unknown
0,,,,3.625,4.0,-0.375,10.75,11.375,-0.625,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[27000010, 26000062, 26000074, 27000001, 26000052, 26000047, 28000015, 28000001]",77,8859,12,20260413T124720.000Z,#QPUJY0LRQ,0,1,0.5,0.5,0.0,3.25,2.625,0.625,0.76,unknown
0,,,,3.625,4.125,-0.5,10.75,10.5,0.25,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000055, 28000008, 26000037, 26000033, 28000001, 28000003, 28000006, 26000016]",77,8859,20,20260412T203532.000Z,#QPUJY0LRQ,0,1,0.5,0.5,0.0,3.25,3.5,-0.25,0.76,unknown
1,,,,3.625,3.875,-0.25,10.75,10.875,-0.125,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000036, 26000062, 26000050, 26000042, 28000001, 26000004, 26000018, 28000008]",77,8859,20,20260412T203217.000Z,#QPUJY0LRQ,2,1,0.5,0.5,0.0,3.25,3.125,0.125,0.76,unknown
1,,,,3.625,3.625,0.0,10.75,11.625,-0.875,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[27000010, 26000002, 26000049, 28000010, 26000020, 28000009, 27000001, 28000015]",77,8859,18,20260412T181228.000Z,#QPUJY0LRQ,1,0,0.5,0.5,0.0,3.25,2.375,0.875,0.76,unknown
1,,,,3.625,4.25,-0.625,10.75,10.25,0.5,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[27000012, 26000002, 26000035, 28000007, 28000012, 26000027, 26000085, 26000037]",77,8859,18,20260412T180811.000Z,#QPUJY0LRQ,3,1,0.5,0.5,0.0,3.25,3.75,-0.5,0.76,unknown
1,,,,3.625,2.75,0.875,10.75,13.75,-3.0,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[28000017, 26000000, 27000013, 28000009, 27000006, 26000102, 26000013, 26000031]",77,8859,15,20260412T151619.000Z,#QPUJY0LRQ,3,0,0.5,0.5,0.0,3.25,0.25,3.0,0.76,unknown
1,,,,3.625,4.5,-0.875,10.75,10.625,0.125,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000035, 28000015, 26000063, 26000009, 26000027, 26000080, 28000012, 27000007]",77,8859,12,20260412T124320.000Z,#QPUJY0LRQ,1,0,0.5,0.5,0.0,3.25,3.375,-0.125,0.76,unknown
0,,,,3.625,3.5,0.125,10.75,13.5,-2.75,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000056, 26000002, 27000002, 28000015, 26000053, 26000054, 28000000, 26000005]",77,8859,9,20260412T094800.000Z,#QPUJY0LRQ,0,1,0.5,0.5,0.0,3.25,0.5,2.75,0.76,unknown
1,,,,3.625,4.125,-0.5,10.75,12.625,-1.875,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000056, 26000020, 26000022, 26000054, 27000010, 27000001, 28000012, 28000001]",77,8859,9,20260412T094428.000Z,#QPUJY0LRQ,1,0,0.5,0.5,0.0,3.25,1.375,1.875,0.76,unknown
0,,,,3.625,3.625,0.0,10.75,11.375,-0.625,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000011, 28000002, 26000063, 28000009, 28000001, 26000067, 26000037, 26000068]",77,8859,8,20260412T084804.000Z,#QPUJY0LRQ,1,2,0.5,0.5,0.0,3.25,2.625,0.625,0.76,unknown
1,,,,3.625,4.25,-0.625,10.75,10.75,0.0,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000015, 28000015, 27000012, 26000039, 26000085, 28000007, 28000012, 26000034]",77,8859,8,20260412T082651.000Z,#QPUJY0LRQ,2,1,0.5,0.5,0.0,3.25,3.25,0.0,0.76,unknown
1,,,,3.625,3.75,-0.125,10.75,10.625,0.125,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000049, 28000010, 27000010, 26000020, 28000009, 27000001, 26000025, 28000011]",77,8859,8,20260412T080813.000Z,#QPUJY0LRQ,3,0,0.5,0.5,0.0,3.25,3.375,-0.125,0.76,unknown
0,,,,3.625,3.875,-0.25,10.75,11.625,-0.875,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000012, 26000003, 28000008, 26000083, 26000005, 26000018, 28000000, 26000033]",77,8859,20,20260411T200710.000Z,#QPUJY0LRQ,0,1,0.5,0.5,0.0,3.25,2.375,0.875,0.76,unknown
