outcome,trophy_diff,elixir_diff,level_diff,deck_meta_score_diff,team_avg_elixir,opp_avg_elixir,team_avg_level,opp_avg_level,team_deck_meta_score,opp_deck_meta_score,team_underleveled_penalty,opp_underleveled_penalty,underleveled_diff,exp_level,battle_count,player_win_rate,hour_of_day,trophy_diff_category
1,,0.0,-1.0,-0.01041328033658906,3.25,3.25,10.875,11.875,0.4813305794846933,0.4917438598212824,3.125,2.125,1.0,68,12261,0.8235294117647058,16,unknown
1,,-0.625,1.875,-0.06493890971504951,3.25,3.875,10.875,9.0,0.4813305794846933,0.5462694891997428,3.125,5.0,-1.875,68,12261,0.8235294117647058,15,unknown
1,-301.0,-1.75,3.0,0.036018218736469876,3.125,4.875,12.5,9.5,0.5014141666443221,0.46539594790785227,1.5,4.5,-3.0,68,12261,0.8235294117647058,15,lower
1,150.0,-0.75,-0.25,0.04065610088241106,2.75,3.5,12.125,12.375,0.505931332008408,0.46527523112599695,1.875,1.625,0.25,68,12261,0.8235294117647058,15,higher
1,-1641.0,0.375,-2.125,0.0382033919429669,3.0,2.625,12.25,14.375,0.5263851377783245,0.4881817458353576,1.75,-0.375,2.125,68,12261,0.8235294117647058,15,lower
1,-82.0,-0.375,-1.875,-0.009805622826164262,3.5,3.875,10.75,12.625,0.4610116744650288,0.47081729729119304,3.25,1.375,1.875,68,12261,0.8235294117647058,15,lower
1,,0.875,-1.625,-0.024837701182307492,3.25,2.375,10.875,12.5,0.4813305794846933,0.5061682806670008,3.125,1.5,1.625,68,12261,0.8235294117647058,16,unknown
1,,-1.625,2.25,-0.005673952965604745,3.25,4.875,10.875,8.625,0.4813305794846933,0.48700453245029807,3.125,5.375,-2.25,68,12261,0.8235294117647058,11,unknown
0,0.0,0.625,0.375,0.05072187844466014,4.125,3.5,6.25,5.875,0.5117528077474669,0.46103092930280676,7.75,8.125,-0.375,68,12261,0.8235294117647058,9,equal
1,0.0,0.0,-0.625,0.016704806331257926,4.125,4.125,6.25,6.875,0.5117528077474669,0.49504800141620897,7.75,7.125,0.625,68,12261,0.8235294117647058,9,equal
0,0.0,0.375,-2.0,0.010974866566163088,4.125,3.75,6.25,8.25,0.5117528077474669,0.5007779411813038,7.75,5.75,2.0,68,12261,0.8235294117647058,22,equal
0,0.0,0.375,-0.375,-0.006856774196864812,4.125,3.75,6.25,6.625,0.5117528077474669,0.5186095819443317,7.75,7.375,0.375,68,12261,0.8235294117647058,20,equal
1,0.0,0.875,-1.625,0.020008947926184517,4.125,3.25,6.25,7.875,0.5117528077474669,0.4917438598212824,7.75,6.125,1.625,68,12261,0.8235294117647058,20,equal
1,0.0,0.0,-0.125,-0.015476927896111325,4.125,4.125,6.25,6.375,0.5117528077474669,0.5272297356435782,7.75,7.625,0.125,68,12261,0.8235294117647058,20,equal
1,0.0,0.5,-1.0,0.00794233915392617,4.125,3.625,6.25,7.25,0.5117528077474669,0.5038104685935407,7.75,6.75,1.0,68,12261,0.8235294117647058,19,equal
1,0.0,-0.75,1.0,0.005710189346759487,4.125,4.875,6.25,5.25,0.5117528077474669,0.5060426184007074,7.75,8.75,-1.0,68,12261,0.8235294117647058,11,equal
1,,0.375,0.375,-0.03540441818207052,4.125,3.75,6.25,5.875,0.5117528077474669,0.5471572259295374,7.75,8.125,-0.375,68,12261,0.8235294117647058,11,unknown
1,,0.625,-1.875,0.07004032351242984,3.625,3.0,10.75,12.625,0.5871825826595676,0.5171422591471377,3.25,1.375,1.875,77,8859,0.76,20,unknown
1,,0.375,-1.25,0.10837537294651273,3.625,3.25,10.75,12.0,0.5871825826595676,0.47880720971305485,3.25,2.0,1.25,77,8859,0.76,15,unknown
0,,-0.375,-0.625,0.08102375205563273,3.625,4.0,10.75,11.375,0.5871825826595676,0.5061588306039349,3.25,2.625,0.625,77,8859,0.76,12,unknown
0,,-0.5,0.25,0.10353405153775408,3.625,4.125,10.75,10.5,0.5871825826595676,0.4836485311218135,3.25,3.5,-0.25,77,8859,0.76,20,unknown
1,,-0.25,-0.125,0.047614392644205084,3.625,3.875,10.75,10.875,0.5871825826595676,0.5395681900153625,3.25,3.125,0.125,77,8859,0.76,20,unknown
1,,0.0,-0.875,0.10449714412337041,3.625,3.625,10.75,11.625,0.5871825826595676,0.48268543853619716,3.25,2.375,0.875,77,8859,0.76,18,unknown
1,,-0.625,0.5,0.09772627717754179,3.625,4.25,10.75,10.25,0.5871825826595676,0.4894563054820258,3.25,3.75,-0.5,77,8859,0.76,18,unknown
1,,0.875,-3.0,0.12148877263437474,3.625,2.75,10.75,13.75,0.5871825826595676,0.46569381002519283,3.25,0.25,3.0,77,8859,0.76,15,unknown
1,,-0.875,0.125,0.10813479568630635,3.625,4.5,10.75,10.625,0.5871825826595676,0.4790477869732612,3.25,3.375,-0.125,77,8859,0.76,12,unknown
0,,0.125,-2.75,0.09420067425461065,3.625,3.5,10.75,13.5,0.5871825826595676,0.4929819084049569,3.25,0.5,2.75,77,8859,0.76,9,unknown
1,,-0.5,-1.875,0.10422838671524715,3.625,4.125,10.75,12.625,0.5871825826595676,0.48295419594432043,3.25,1.375,1.875,77,8859,0.76,9,unknown
0,,0.0,-0.625,0.09246119919227314,3.625,3.625,10.75,11.375,0.5871825826595676,0.49472138346729444,3.25,2.625,0.625,77,8859,0.76,8,unknown
1,,-0.625,0.0,0.11485936292108234,3.625,4.25,10.75,10.75,0.5871825826595676,0.47232321973848523,3.25,3.25,0.0,77,8859,0.76,8,unknown
